id,chapitre,sous_chapitre,paragraphe,sous_paragraphe,question,response_type,included_in_score,information
1,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,Affichage,Présence d'un affichage,C/PC/NC,1,Test info goes here
2,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,Affichage,Qualité de l'affichage,C/PC/NC,0,
3,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,Affichage,Lisibilité des informations,C/PC/NC,1,
4,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,Affichage,Précision des informations,C/PC/NC,1,
5,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,Présentation,Qualité de la présentation,C/PC/NC,1,
6,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,Présentation,Uniformité de la vaisselle utilisée,C/PC/NC,1,
7,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,Présentation,Accessibilité pour le réapprovisionnement,OK/KO,1,
8,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,Relevés des températures,Produit 1,Cold Temperature,1,
9,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,Relevés des températures,Vérification de la température de la vitrine,Temperature,1,
10,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,Relevés des températures,Contrôle de l'affichage de la vitrine,C/PC/NC,1,
11,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Uniformité de la vaisselle utilisée,C/PC/NC,1,
12,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Etat des ramequins/raviers,C/PC/NC,1,
13,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Propreté des ramequins/raviers,C/PC/NC,1,
14,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Etat des petites assiettes,C/PC/NC,1,
15,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Propreté des petites assiettes,C/PC/NC,1,
16,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Etat des coupelles,C/PC/NC,1,
17,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Propreté des coupelles,C/PC/NC,1,
18,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Etat des bols,C/PC/NC,1,
19,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Propreté des bols,C/PC/NC,1,
20,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,Les contenants,Accessibilité pour le réapprovisionnement,OK/KO,1,
21,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Etat des vitrines,C/PC/NC,1,
22,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Propreté des vitrines,C/PC/NC,1,
23,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Etat des îlots,C/PC/NC,1,
24,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Propreté des îlots,C/PC/NC,1,
25,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Etat des vitres,C/PC/NC,1,
26,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,Le matériel,Propreté des vitres,C/PC/NC,1,
